week,start_date,end_date
1,4/23/20,5/5/20
2,5/7/20,5/12/20
3,5/14/20,5/19/20
4,5/21/20,5/26/20
5,5/28/20,6/2/20
6,6/4/20,6/9/20
7,6/11/20,6/16/20
8,6/18/20,6/23/20
9,6/25/20,6/30/20
10,7/2/20,7/7/20
11,7/9/20,7/14/20
12,7/16/20,7/21/20
13,8/19/20,8/31/20
14,9/2/20,9/14/20
15,9/16/20,9/28/20
16,9/30/20,10/12/20
17,10/14/20,10/26/20
18,10/28/20,11/9/20
19,11/11/20,11/23/20
20,11/25/20,12/7/20
21,12/9/20,12/21/20
22,1/6/21,1/18/21
23,1/20/21,2/1/21
24,2/3/21,2/15/21
25,2/17/21,3/1/21
26,3/3/21,3/15/21
27,3/17/21,3/29/21